56	
596		
839		
1,411		
1,613		
2,072		
2,302		
2,655		
3,000		
4,000		
4,922		
6,081		
8,938		
9,945	
11,323		
13,135		
13,452		
14,974	
20,901		
23,296		
28,502		
29,537		
30,001		
31,458		
33,664	
36,950		
36,979		
37,132		
37,429		
48,359		
53,883		
55,000		
55,000		
55,456	
55,519		
56,086		
56,483		
63,085		
64,237		
71,293		
76,098		
84,497		
86,295	
90,945		
99,000		
101,351		
101,484		
103,036		
103,328		
106,405	
586,000	
614,500	
620,029
743,798	
749,300	
784,894	
840,974	
858,038	
865,878	
886,000	
1,212,107	
1,234,571	
1,257,900	
1,268,000	
1,315,819	
1,328,019	
1,622,000	
1,711,000	
1,746,000	
1,815,606	
1,882,450	
1,996,500	
2,024,904	
2,062,294	
2,063,217	
2,098,000	
2,113,077	
2,174,035	
2,717,991	
2,895,947	
2,931,300	
2,939,431	
3,017,400	
3,065,850	
3,286,314	
3,405,813	
3,461,041	
3,557,600	
3,615,086	
3,791,622	
4,020,000	
4,290,612	
4,397,000	
4,420,549	
4,490,500	
4,539,640	
4,559,000	
4,593,100	
4,667,096	
4,709,000	
4,966,000	
5,124,383	
5,307,000	
5,399,200	
5,415,949	
5,458,038	
5,634,437	
5,776,570	
6,071,045	
6,190,280	
6,253,000	
6,253,000	
6,384,000	
6,536,000	
6,580,800	
6,604,510	
6,783,374	
6,993,000	
7,146,759	
7,219,700	
7,245,677	
7,398,500	
8,160,000	
8,160,900	
8,193,900	
8,504,850	
8,555,072	
9,420,248	
9,445,281	
9,446,000	
9,467,000	
9,477,100	
9,684,858	
9,879,000	
9,988,068	
10,027,254	
10,413,211	
10,477,800	
10,517,400	
10,537,222	
10,806,000	
10,824,200	
10,886,500	
11,123,034	
11,167,325	
11,198,638	
11,739,000	
12,873,601	
13,061,239	
13,211,000	
15,023,315	
15,184,116	
15,768,000	
15,778,400	
15,806,675	
16,829,000	
16,858,400	
17,138,707	
17,244,000	
17,322,796	
17,773,000	
19,183,590	
19,942,642	
20,277,597	
20,386,799	
21,263,403	
21,987,000	
23,202,000	
23,386,883	
23,552,200	
23,700,715	
25,027,000	
25,235,000	
25,500,100	
26,494,504	
27,043,093	
28,946,101	
29,994,272	
30,185,000	
30,492,800	
30,814,175	
33,313,300	
35,357,000	
35,427,524	
36,004,552	
37,289,406	
38,496,000	
38,700,000	
42,669,500	
42,839,621	
44,928,923	
45,546,000	
46,609,700	
47,671,000	
50,423,955	
52,981,991	
60,380,000	
60,782,668	
64,105,700	
64,456,700	
65,931,000	
69,360,000	
76,667,864	
77,567,000	
80,716,000	
86,770,500	
86,770,500	
87,952,991	
89,708,900	
99,833,600	
119,713,203	
127,090,000	
146,048,500	
156,591,000	
178,517,000	
188,020,000	
202,823,000	
252,164,800	
318,355,000	
1,246,420,000
1,365,480,000
